Index,Name,Ranking,Overview,School Type,Year Founded,Religious Affiliation,Academic Calendar,Setting,2019 Endowment,School Website
0,Ursinus College,84,"Ursinus College is a private institution that was founded in 1869. It has a total undergraduate enrollment of 1,472, its setting is suburban, and the campus size is 170 acres. It utilizes a semester-based academic calendar. Ursinus College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #84. Its tuition and fees are $55,210.","Private, Coed",1869.0,None,Semester,Suburban,137900000.0,
1,Wheaton College (MA),84,"Wheaton College (MA) is a private institution that was founded in 1834. It has a total undergraduate enrollment of 1,774, its setting is suburban, and the campus size is 478 acres. It utilizes a semester-based academic calendar. Wheaton College (MA)'s ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #84. Its tuition and fees are $56,366.","Private, Coed",1834.0,None,Semester,Suburban,213000000.0,
2,Hendrix College,93,"Hendrix College is a private institution that was founded in 1876. It has a total undergraduate enrollment of 1,109, and the setting is Suburban. It utilizes a semester-based academic calendar. Hendrix College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #93. Its tuition and fees are $49,490.","Private, Coed",1876.0,United Methodist,Semester,Suburban,196600000.0,
3,Ohio Wesleyan University,93,"Ohio Wesleyan University is a private institution that was founded in 1842. It has a total undergraduate enrollment of 1,494, and the setting is Suburban. It utilizes a semester-based academic calendar. Ohio Wesleyan University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #93. Its tuition and fees are $47,130.","Private, Coed",1842.0,United Methodist,Semester,Suburban,243100000.0,
4,Principia College,93,"Principia College is a private institution that was founded in 1910. It has a total undergraduate enrollment of 404, its setting is rural, and the campus size is 2,600 acres. It utilizes a semester-based academic calendar. Principia College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #93. Its tuition and fees are $30,720.","Private, Coed",1910.0,Other,Semester,Rural,384900000.0,
5,Augustana College,96,"Augustana College is a private institution that was founded in 1860. It has a total undergraduate enrollment of 2,546, its setting is suburban, and the campus size is 115 acres. It utilizes a semester-based academic calendar. Augustana College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #96. Its tuition and fees are $45,136.","Private, Coed",1860.0,Evangelical Lutheran Church,Semester,Suburban,180100000.0,
6,College of St. Benedict,96,"College of St. Benedict is a private institution that was founded in 1913. It has a total undergraduate enrollment of 1,748, its setting is suburban, and the campus size is 300 acres. It utilizes a semester-based academic calendar. College of St. Benedict's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #96. Its tuition and fees are $48,444.","Private, Coed",1913.0,Roman Catholic,Semester,Suburban,83500000.0,
7,Saint Mary's College,96,"Saint Mary's College is a private institution that was founded in 1844. It has a total undergraduate enrollment of 1,452, its setting is suburban, and the campus size is 100 acres. It utilizes a semester-based academic calendar. Saint Mary's College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #96. Its tuition and fees are $45,720.","Private, Women's college",1844.0,Roman Catholic,Semester,Suburban,201100000.0,
8,Washington and Jefferson College,96,"Washington and Jefferson College is a private institution that was founded in 1781. It has a total undergraduate enrollment of 1,262, its setting is suburban, and the campus size is 60 acres. It utilizes a 4-1-4-based academic calendar. Washington and Jefferson College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #96. Its tuition and fees are $50,192.","Private, Coed",1781.0,None,4-1-4,Suburban,142100000.0,
9,Washington College,96,"Washington College is a private institution that was founded in 1782. It has a total undergraduate enrollment of 1,288, its setting is rural, and the campus size is 112 acres. It utilizes a semester-based academic calendar. Washington College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #96. Its tuition and fees are $49,768.","Private, Coed",1782.0,None,Semester,Rural,236700000.0,
