Index,Name,Ranking,Overview,School Type,Year Founded,Religious Affiliation,Academic Calendar,Setting,2019 Endowment,School Website,Info Page
0,Williams College,1,"Williams College is a private institution that was founded in 1793. It has a total undergraduate enrollment of 2,078, its setting is rural, and the campus size is 450 acres. It utilizes a 4-1-4-based academic calendar. Williams College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #1. Its tuition and fees are $50,760.","Private, Coed",1793.0,None,4-1-4,Rural,2700000000.0,http://www.williams.edu,https://www.usnews.com/best-colleges/williams-college-2229
1,Amherst College,2,"Amherst College is a private institution that was founded in 1821. It has a total undergraduate enrollment of 1,839, its setting is rural, and the campus size is 1,000 acres. It utilizes a semester-based academic calendar. Amherst College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #2. Its tuition and fees are $60,890.","Private, Coed",1821.0,None,Semester,Rural,2500000000.0,http://www.amherst.edu,https://www.usnews.com/best-colleges/amherst-college-2115
2,Swarthmore College,3,"Swarthmore College is a private institution that was founded in 1864. It has a total undergraduate enrollment of 1,594, its setting is suburban, and the campus size is 425 acres. It utilizes a semester-based academic calendar. Swarthmore College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #3. Its tuition and fees are $54,656.","Private, Coed",1864.0,None,Semester,Suburban,2100000000.0,http://www.swarthmore.edu,https://www.usnews.com/best-colleges/swarthmore-college-3370
3,Pomona College,4,"Pomona College is a private institution that was founded in 1887. It has a total undergraduate enrollment of 1,717, its setting is suburban, and the campus size is 140 acres. It utilizes a semester-based academic calendar. Pomona College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #4. Its tuition and fees are $54,774.","Private, Coed",1887.0,None,Semester,Suburban,2300000000.0,http://www.pomona.edu,https://www.usnews.com/best-colleges/pomona-college-1173
4,Wellesley College,4,"Wellesley College is a private institution that was founded in 1870. It has a total undergraduate enrollment of 2,519, its setting is suburban, and the campus size is 500 acres. It utilizes a semester-based academic calendar. Wellesley College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #4. Its tuition and fees are $58,448.","Private, Women's college",1870.0,None,Semester,Suburban,2200000000.0,http://www.wellesley.edu,https://www.usnews.com/best-colleges/wellesley-college-2224
5,Bowdoin College,6,"Bowdoin College is a private institution that was founded in 1794. It has a total undergraduate enrollment of 1,835, its setting is suburban, and the campus size is 207 acres. It utilizes a semester-based academic calendar. Bowdoin College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #6. Its tuition and fees are $56,350.","Private, Coed",1794.0,Other,Semester,Suburban,1700000000.0,https://www.bowdoin.edu,https://www.usnews.com/best-colleges/bowdoin-college-2038
6,Claremont McKenna College,6,"Claremont McKenna College is a private institution that was founded in 1946. It has a total undergraduate enrollment of 1,343, its setting is suburban, and the campus size is 69 acres. It utilizes a semester-based academic calendar. Claremont McKenna College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #6. Its tuition and fees are $56,475.","Private, Coed",1946.0,None,Semester,Suburban,865500000.0,http://www.claremontmckenna.edu,https://www.usnews.com/best-colleges/claremont-mckenna-college-1170
7,United States Naval Academy,6,"United States Naval Academy is a public institution that was founded in 1845. It has a total undergraduate enrollment of 4,524, its setting is city, and the campus size is 338 acres. It utilizes a semester-based academic calendar. United States Naval Academy's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #6. Its in-state tuition and fees are N; out-of-state tuition and fees are N.","Public, Coed",1845.0,None,Semester,City,292800000.0,http://www.usna.edu,https://www.usnews.com/best-colleges/united-states-naval-academy-2101
8,Carleton College,9,"Carleton College is a private institution that was founded in 1866. It has a total undergraduate enrollment of 2,119, its setting is rural, and the campus size is 955 acres. It utilizes a trimester-based academic calendar. Carleton College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #9. Its tuition and fees are $59,352.","Private, Coed",1866.0,None,Trimester,Rural,892400000.0,http://www.carleton.edu,https://www.usnews.com/best-colleges/carleton-college-2340
9,Hamilton College,9,"Hamilton College is a private institution that was founded in 1812. It has a total undergraduate enrollment of 1,924, its setting is rural, and the campus size is 1,300 acres. It utilizes a semester-based academic calendar. Hamilton College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #9. Its tuition and fees are $58,510.","Private, Coed",1812.0,None,Semester,Rural,1000000000.0,http://www.hamilton.edu,https://www.usnews.com/best-colleges/hamilton-college-2728
